start_time,crypto_code,e_roi,time_cost,roi_30,roi_100,roi_300,roi_1000
1620902564.362606,NEBL,1.0047804481181462,0.0002689361572265625,1.0047804481181462,1.0046595342934783,1.0046461012204166,0.9
1620902564.838515,NEBL,1.0047267050475364,0.00028204917907714844,1.004753575864178,1.0047938847841635,1.004807321809556,0.9
1620902565.312528,NEBL,1.0048745123276444,0.0005559921264648439,1.0048745123276444,1.0048745123276444,1.0047267050475364,0.9
1620902565.7614248,NEBL,1.004767011811489,0.0003721714019775391,1.004767011811489,1.004767011811489,1.004767011811489,0.9
1620902566.267551,NEBL,1.004767011811489,0.0004091262817382813,1.004767011811489,1.004767011811489,1.0048879515095883,0.9
1620902566.7412882,NEBL,1.005425813711328,0.00030684471130371094,1.0052509453511935,1.005277844216515,1.0052240479253345,0.9
1620902567.216002,NEBL,1.0052240479253345,0.00024199485778808594,1.0052240479253345,1.004982035849327,1.0050358062395497,0.9
1620902567.71579,NEBL,1.0053316462660051,0.0002892017364501953,1.0053316462660051,1.00537200158257,1.00537200158257,0.9
1620902568.176262,NEBL,1.00537200158257,0.0004100799560546875,1.00537200158257,1.00537200158257,1.00537200158257,0.9
1620902568.678412,NEBL,1.0053989069269005,0.0002849102020263672,1.0053989069269005,1.0053989069269005,1.0053989069269005,0.9
1620902569.150153,NEBL,1.005345097678222,0.00037288665771484375,1.005345097678222,1.0053316462660051,1.0053316462660051,0.9
1620902569.6285696,NEBL,1.0053316462660051,0.0003609657287597656,1.0053316462660051,1.0053316462660051,1.0054123601390947,0.9
1620902570.1097732,NEBL,1.005425813711328,0.00038814544677734375,1.005425813711328,1.005425813711328,1.0054930869735832,0.9
1620902570.569155,NEBL,1.0055738267725935,0.00025010108947753906,1.0055738267725935,1.0055603692389787,1.0055738267725935,0.9
1620902571.02855,NEBL,1.0055738267725935,0.00030493736267089844,1.0055738267725935,1.0055738267725935,1.005533455252328,0.9
1620902571.4923608,NEBL,1.0053989069269005,0.0003452301025390625,1.0053989069269005,1.00537200158257,1.0053989069269005,0.9
1620902571.952026,NEBL,1.0055199987992631,0.00024008750915527344,1.0055199987992631,1.0055199987992631,1.0054392676436146,0.9
1620902572.4192321,NEBL,1.0054392676436146,0.0002980232238769531,1.0054392676436146,1.0054392676436146,1.0041341238504289,0.9
1620902572.8706331,NEBL,1.0044029683280329,0.000270843505859375,1.0044029683280329,1.0044029683280329,1.0044029683280329,0.9
1620902573.335078,NEBL,1.0044029683280329,0.00024199485778808594,1.0044029683280329,1.0044029683280329,1.0044029683280329,0.9
1620902573.831582,NEBL,1.0044029683280329,0.00030112266540527344,1.0044029683280329,1.0044029683280329,1.0044029683280329,0.9
1620902574.388509,NEBL,1.0044029683280329,0.00026917457580566406,1.0044029683280329,1.0044029683280329,1.0044029683280329,0.9
1620902574.8363972,NEBL,1.0044029683280329,0.00035190582275390625,1.0044029683280329,1.0044029683280329,1.0044029683280329,0.9
1620902575.3345852,NEBL,1.0044029683280329,0.0002961158752441406,1.0044029683280329,1.0044029683280329,1.0044029683280329,0.9
1620902575.8168,NEBL,1.0044029683280329,0.00038814544677734375,1.0044029683280329,1.0044029683280329,1.0029536133953805,0.9
1620902989.325312,VIB,1.0051899508024424,413.0290780067444,0.9994460082264286,0.999244634227162,0.9993251740883324,0.9
1620903181.438078,NANO,1.0057390478275428,191.64970183372498,0.995926762638816,0.9965782884952172,0.9965782884952172,0.9
1620903288.413425,XVG,1.0040363274541768,106.51369905471802,1.000297846261739,0.9994156850579108,0.9993886668860812,0.9
1620903581.3199599,NANO,1.0063914256772235,292.4679589271545,0.9930050144548884,0.9937048065721932,0.994054702630845,0.9
1620903617.3918898,ADA,1.0067685813423564,35.633008003234856,1.0067685813423564,1.006216624883287,0.9949391633546808,0.9
1620903891.502756,POWR,1.0047904791823792,273.6380569934845,0.9902225665007242,0.9902225665007242,0.9902225665007242,0.9
1620903989.8836892,EZ,1.0057711768886368,97.84210395812988,0.9993501188818028,0.9993501188818028,0.9993501188818028,0.9
1620904180.57259,BLZ,1.0090288679278234,190.2297079563141,0.9975050033987743,0.9975050033987743,0.9975050033987743,0.9
1620904227.0216188,NEBL,1.0044395116537181,45.98702073097229,1.0044395116537181,1.0044395116537181,1.0044395116537181,0.9
1620904592.103648,NANO,1.0064169114346135,364.5338017940521,1.0064169114346135,1.0004690964311875,0.9981084100684432,0.9
1620904675.405605,ENJ,1.0040690721467984,82.86536216735841,0.9982564834278916,0.9982032175144702,0.9982431664165998,0.9
1620904744.084615,NANO,1.0041968947011335,68.16219592094421,0.9941500560415798,0.9941500560415798,0.9949679530370699,0.9
1620904859.5254989,STEEM,1.0049168301427815,114.99257183074951,0.9963656343746544,0.9963656343746544,0.9963656343746544,0.9
1620906776.310078,LOOM,1.0040127913837449,279.05371809005743,0.9997061733160166,0.9997326801746492,0.9997459341310873,0.9
1620906887.0259998,NANO,1.004789740547943,110.25690388679504,1.004829802869806,1.0048565128592497,1.0049232940457231,0.9
1620906887.4705114,NANO,1.0049232940457231,0.0004148483276367188,1.0049232940457231,1.0049232940457231,1.00448270217795,0.9
1620906887.90924,NANO,1.00448270217795,0.0002491474151611328,1.0048347180494233,1.0048347180494233,1.0049014738304318,0.9
1620906888.3768554,NANO,1.0056323064022157,0.00021910667419433602,1.0056323064022157,1.0056323064022157,1.0056323064022157,0.9
1620906888.808694,NANO,1.005685759098758,0.00023984909057617188,0.9986422231688441,0.9986422231688441,0.9987351238235171,0.9
1620907077.1525009,ENJ,1.0041334195428235,187.91212821006766,0.9982860353702244,0.9985579625732272,0.9988831000026815,0.9
1620907328.452157,FIRO,1.0059092212457137,250.8563859462738,0.9939897578898744,0.9942207571364208,0.9942207571364208,0.9
1620907446.3469439,NANO,1.0074817259480024,117.43905520439148,0.991387768664488,1.000981843845112,0.9948310069740359,0.9
1620907581.260275,EZ,1.006822190213282,134.43538379669192,1.00595349117082,0.9919394454639884,0.9802105758422186,0.9
1620907713.449615,NEBL,1.005675115399289,131.73270797729492,0.9986806081785642,0.9986806081785642,0.9992639558533858,0.9
1620907820.652125,KNC,1.0056471888598093,106.71562314033508,0.997681705445262,0.997681705445262,0.9978642693110128,0.9
1620908483.380876,DATA,1.0049134236938084,662.273916721344,1.0042670189784149,1.0022878891549778,0.9948635344204964,0.9
1620909957.7119,XLM,1.0048535469008533,444.71942615509033,1.0048535469008533,0.9992613092473192,0.999234953944425,0.9
1620910854.702653,EZ,1.0054775322178204,896.4151549339294,0.9971906294797614,0.99716440694296,0.9968760500335678,0.9
1620911046.3244338,AAVE,1.0064248268975575,191.1234610080719,0.999261532768561,0.9986315948426442,0.9984948147310372,0.9
1620924358.893358,NANO,1.0054399120726083,959.6734120845796,1.0054399120726083,1.0057613442695623,0.9962336423517768,0.9
1620924369.9825752,NANO,1.0057672269065807,10.638366937637327,0.999008847873324,0.9990611725478228,0.9989408777679316,0.9
1620924427.429373,ZEN,1.0041639005628338,56.973244905471795,0.9990829848042594,0.9937728312274272,0.9928567437779297,0.9
