start_time,crypto_code,e_roi,time_cost,ask,ask_q,ask_1,ask_1_q,bid_2,bid_2_q,roi_30,ask_30,ask_q_30,ask_1_30,ask_1_q_30,bid_2_30,bid_2_q_30,roi_100,ask_100,ask_q_100,ask_1_100,ask_1_q_100,bid_2_100,bid_2_q_100,roi_300,ask_300,ask_q_300,ask_1_300,ask_1_q_300,bid_2_300,bid_2_q_300
1621616357.996371,POLS,1.0058212993208742,2.4645140171051025,0.009006,0.03,0.006520999999999999,64.22,5.907e-05,3.4,0.9805522235437872,0.009006,0.03,0.006586,16.78,5.816e-05,51.48,0.9901062913832424,0.009008,0.2,0.006586,16.78,5.816e-05,51.48,0.9834703924006282,0.009008,0.55,0.0065650000000000005,16.78,5.816e-05,51.48
1621616443.516122,NMR,1.0044394966831915,85.05240201950073,0.00899,29.95,0.1237,0.81,0.001117,0.038,1.0045512376439971,0.008989,2.41,0.1237,0.81,0.001117,0.038,1.0045512376439971,0.008989,3.32,0.1237,0.81,0.001117,0.038,1.0046630034692805,0.008988,0.17,0.1237,0.81,0.001117,0.038
1621616443.9567802,NMR,1.0047747941673406,0.0004451274871826172,0.008987,20.98,0.1237,0.81,0.001117,0.038,1.0047747941673406,0.008987,20.98,0.1237,0.81,0.001117,0.038,1.005782031096223,0.008978,0.03,0.1237,0.81,0.001117,0.038,1.0060061358268595,0.008976000000000001,0.9,0.1237,0.33,0.001117,0.038
1621616444.3856509,NMR,1.0051103155812433,0.0003719329833984375,0.008984,0.91,0.1237,0.33,0.001117,0.038,1.0051103155812433,0.008984,0.91,0.1237,0.33,0.001117,0.038,1.0051103155812433,0.008984,0.91,0.1237,0.33,0.001117,0.038,1.0058940709793796,0.008976999999999999,0.75,0.1237,0.33,0.001117,0.038
1621616444.809673,NMR,1.0049696061922684,0.0004069805145263672,0.008978,0.03,0.1238,0.39,0.001117,0.038,1.0049696061922684,0.008978,0.03,0.1238,0.39,0.001117,0.038,1.0049696061922684,0.008978,0.03,0.1238,0.39,0.001117,0.038,1.0049696061922684,0.008978,0.03,0.1238,0.39,0.001117,0.038
1621616445.249591,NMR,1.0049696061922684,0.0004420280456542969,0.008978,0.03,0.1238,0.39,0.001117,0.038,1.0049696061922684,0.008978,0.03,0.1238,0.39,0.001117,0.038,1.0049696061922684,0.008978,0.03,0.1238,0.39,0.001117,0.038,1.0044102331508609,0.008983,0.03,0.1238,0.39,0.001117,0.038
1621616445.6777642,NMR,1.0076660199682057,0.0004401206970214844,0.008983,0.03,0.1234,0.97,0.001117,0.038,1.0076660199682057,0.008983,0.03,0.1234,0.97,0.001117,0.038,1.0076660199682057,0.008983,0.03,0.1234,0.97,0.001117,0.038,1.00429843325848,0.008984,6.91,0.1238,0.39,0.001117,0.038
1621616446.103453,NMR,1.0044102331508609,0.0003948211669921875,0.008983,10.0,0.1238,0.39,0.001117,0.038,1.0044102331508609,0.008983,10.0,0.1238,0.39,0.001117,0.038,1.0045220579374508,0.008981999999999999,0.07,0.1238,0.39,0.001117,0.038,1.0045220579374508,0.008981999999999999,40.6,0.1238,0.39,0.001117,0.038
1621616446.537837,NMR,1.0045220579374508,0.0003628730773925781,0.008981999999999999,0.34,0.1238,0.39,0.001117,0.038,1.0045220579374508,0.008981999999999999,0.34,0.1238,0.39,0.001117,0.038,1.0045220579374508,0.008981999999999999,49.06,0.1238,0.39,0.001117,0.038,1.0047457822265238,0.00898,0.07,0.1238,0.39,0.001117,0.038
1621616446.975901,NMR,1.0048576817456494,0.0004100799560546875,0.008979000000000001,29.12,0.1238,0.39,0.001117,0.038,1.0048576817456494,0.008979000000000001,29.12,0.1238,0.39,0.001117,0.038,1.0055296026294644,0.008973,30.0,0.1238,0.39,0.001117,0.038,1.005641676816115,0.008971999999999999,0.6,0.1238,0.39,0.001117,0.038
