start_time,crypto_code,e_roi,time_cost,ask,ask_q,ask_1,ask_1_q,bid_2,bid_2_q,roi_30,ask_30,ask_q_30,ask_1_30,ask_1_q_30,bid_2_30,bid_2_q_30,roi_100,ask_100,ask_q_100,ask_1_100,ask_1_q_100,bid_2_100,bid_2_q_100,roi_300,ask_300,ask_q_300,ask_1_300,ask_1_q_300,bid_2_300,bid_2_q_300
1621993682.1224759,BLZ,1.0052175089905508,64.40295100212097,350.82,6.0288,0.000615,174.0,0.21688000000000002,51044.7,0.99715689141201,350.82,6.0288,0.00062,2086.0,0.21689,932.5,1.0053565560454647,350.82,3.0,0.00062,2086.0,0.21691,38451.0,0.9866716132094516,350.8,3.0,0.000627,170.0,0.21702,4197.9
1621993741.728137,BLZ,1.0099373667462157,59.16637802124024,350.48,9.8999,0.000646,144.0,0.22866,5238.6,0.9917478494052214,350.48,5.9137,0.000655,258.0,0.22767,4078.0,1.006492290449259,350.48,6.5962,0.000655,258.0,0.22788000000000005,5241.1,0.9928368684343044,350.48,11.6309,0.000655,258.0,0.22792,1873.5
1621994151.509982,INJ,1.0058844747240945,409.34286189079285,350.4,29.0,0.02823,117.4,9.95,651.655,0.9963064125431708,350.36,24.0,0.02837,3.7,9.902999999999999,162.70600000000005,1.0012759367549104,350.35,2.968,0.02837,3.7,9.902999999999999,162.70600000000005,0.9964639013545812,350.34,7.1787,0.02837,3.7,9.904,99.774
1621994233.1344366,RSR,1.0049085879705149,81.1853880882263,349.64,4.0,0.0001106,14441.0,0.038860000000000006,37105.6,0.9979320658649621,349.64,3.94,0.00011079999999999996,21001.0,0.03866,25821.2,0.9996794612880981,349.66,2.5928,0.00011079999999999996,21001.0,0.03866,20275.2,0.9981901962493036,349.64,1.856,0.00011079999999999996,21001.0,0.03867,22321.2
1621994294.635983,LUNA,1.004329831799868,10.172583818435667,350.6,6.0,0.02101,23.0,7.398,25.7,1.0001526114743011,350.61,0.9373,0.0211,492.2,7.399,70.628,1.004465588738473,350.6,6.0,0.0211,447.8,7.399,29.205,0.9999362339948475,350.59,0.9572,0.02114,4.3,7.4110000000000005,525.69
1621994410.4497988,BLZ,1.0081039657085782,115.37836480140686,352.57,0.1553,0.0006320000000000001,409.0,0.22463,164906.6,1.0081325595356063,352.56,6.0,0.0006320000000000001,409.0,0.22463,130509.6,1.0083041565670168,352.5,82.1185,0.000657,1416.0,0.22463,32528.6,0.986628021869442,352.5,3.21,0.000646,2459.0,0.22467,1865.0
1621994518.2168698,MATIC,1.0095185157831146,107.34387683868408,352.19,4.0,0.0060471000000000006,537.0,2.15,623527.1,1.0095185157831146,352.19,4.0,0.0060471000000000006,537.0,2.15,623527.1,1.0095185157831146,352.19,1.1607,0.0060471000000000006,537.0,2.15,483864.8,0.9957739837708688,352.19,2.0,0.0061,16816.0,2.13928,4293.9
1621995123.3821142,BURGER,1.005603657186761,604.7332322597504,355.24,9.7866,0.02441,52.2,8.72,137.3,1.005191862077348,355.24,7.7049,0.02442,9.5,8.72,137.3,1.0055753502576354,355.25,7.81,0.02442,9.5,8.72,137.3,1.0027427544188932,355.38,26.72,0.02447,81.3,8.72,129.9
1621995254.1041012,UNFI,1.020003254684671,130.28268074989322,356.32,2.9259,0.02889,30.0,10.5,11965.103000000001,0.9934197506888632,356.32,1.8982,0.02918,38.7,10.329,106.31,1.013911690244412,356.31,2.8597,0.02949,185.7,10.437000000000001,479.499,0.9894665307509344,356.25,23.0214,0.02943,3.2,10.374,1518.431
1621995264.849107,UNFI,1.007218127992445,10.316159963607786,356.28,3.0,0.02926,107.2,10.5,4132.197,0.9826866250532856,356.27,0.3876,0.029480000000000006,9.5,10.321,27.076,1.0073706029055018,356.26,6.4177,0.02974,48.9,10.501,454.443,0.985458533468502,356.12,5.194,0.02974,34.4,10.437,375.717
1621995275.1988661,XVS,1.011910587047944,9.916714906692503,355.95,1.4886,0.1055,20.76,38.0,349.87300000000016,1.011910587047944,355.95,1.4886,0.1055,20.76,38.0,349.87300000000016,1.0005325097183024,356.0,0.0505,0.1065,45.93,37.578,1299.924,0.9922486018231228,355.98,1.7833,0.1065,45.93,37.618,16.245
1621995416.8422759,XVS,1.0047095168367672,141.22009992599487,355.27,2.6335,0.1073,160.43,38.3,12051.424,0.9990945021316452,355.28,2.2842,0.1079,5.86,38.3,10188.645,1.0047337012372846,355.28,2.2842,0.108,20.49,38.302,32.931999999999995,0.9968987165368018,355.27,2.7328,0.1082,17.92,38.321,0.065
1621995491.549275,COCOS,1.0040031127517632,74.27280592918395,355.19,6.0,0.001399,84.3,0.4989,52.76,0.9959858232085772,355.19,6.0,0.001408,247.0,0.4981,120.11,1.0023931658882606,355.19,6.0,0.001408,247.0,0.4981,120.11,0.9959858232085772,355.19,6.0,0.001408,247.0,0.4981,120.11
1621995770.443809,BLZ,1.0115845048494974,278.466227054596,356.56,5.3145,0.000753,1287.0,0.2716,8644.3,0.9885304342049908,356.55,5.1707,0.0007599999999999999,4463.0,0.26787,8852.9,0.9976825267612538,356.59,24.8679,0.0007599999999999999,4463.0,0.26789,32531.4,0.9886223930314556,356.61,1.1,0.0007599999999999999,4463.0,0.26794,4291.0
1621995772.299911,BLZ,1.0042480242200391,1.4172000885009766,356.47,2.0469999999999997,0.0007639999999999999,284.0,0.2735,64.8,0.991937319636078,356.5,3.0,0.0007639999999999999,284.0,0.27016999999999997,7299.2,0.9920474655426889,356.5,3.0,0.0007639999999999999,284.0,0.2702,2960.6,0.9947643979057592,356.5,0.0005,0.0007639999999999999,284.0,0.27094,2952.6
1621995816.997474,BLZ,1.006928338006734,44.26160669326782,356.96,5.1316,0.000688,115.0,0.24729,13342.5,0.9953544490641276,356.96,5.1316,0.000696,154.0,0.24729,11675.3,1.007009775051338,356.96,3.0,0.000696,63.0,0.24731,2676.5,0.9954225856675248,356.95,3.0,0.000696,63.0,0.2473,1149.0
1621995825.615974,XRP,1.0071452467979511,8.174719095230103,356.5,2.2197,0.002813,25.9,1.01,264234.85,0.9956633901390516,356.5,2.2197,0.002826,1672.1,1.0031,2705.7,1.0011902896069558,356.49,0.5049,0.00282,25.7,1.004,530.99,0.9991592125447932,356.45,4.6211,0.002821,17828.8,1.0047,14709.18
1621995826.8322182,BLZ,1.006613865940001,0.7872493267059326,357.62,0.8573,0.000678,14037.0,0.24407,181.6,0.9816896245347846,357.66,10.1696,0.0006929999999999999,217.0,0.24332,7350.2,1.0034908979820818,357.66,5.8996,0.0006929999999999999,217.0,0.24334,932.5,0.9849191964786294,357.63,27.1553,0.0006929999999999999,217.0,0.2441,94.8
1621995833.616142,BLZ,1.004325132232109,6.343971252441406,357.76,0.07,0.0006929999999999999,273.0,0.249,88.0,0.9951521719187192,357.76,0.07,0.0007019999999999999,5737.0,0.24993,44499.6,1.008241440970035,357.73,1.0289,0.0007019999999999999,5737.0,0.24995,21621.7,0.9956693818461976,357.66,3.267,0.0007019999999999999,5737.0,0.24999000000000002,2797.5
1621995841.911044,BLZ,1.0103390026795949,7.82355809211731,357.73,0.2794,0.0007,132.0,0.253,34798.0,0.9847749844191446,357.77,3.0,0.0007059999999999999,79686.0,0.24874,8028.8,0.9932558427401484,357.77,3.0,0.0007059999999999999,79686.0,0.24875,33034.1,0.9850917087045572,357.77,3.0,0.0007059999999999999,79686.0,0.24882,6955.0
1621995906.01234,BLZ,1.021488171930327,63.65217208862305,357.24,3.7348,0.000718,25.0,0.26200999999999997,11901.1,0.9768615702351982,357.31,5.1854,0.000731,275.0,0.25515,4973.9,0.9964917193007512,357.34,6.0,0.000731,275.0,0.25567,1806.1,0.9828914614139184,357.35,6.0,0.000728,215.0,0.2557,8276.6
1621995935.711384,BLZ,1.013568250351133,29.261182069778442,356.79,2.599,0.0007480000000000001,215.0,0.2705,6899.5,0.9903367414706264,356.79,2.4793,0.0007480000000000001,215.0,0.2643,377.4,0.9832372327158644,356.81,5.2148,0.000749,3127.0,0.26242,1706.0,0.9820642770330544,356.8,3.0,0.000749,3127.0,0.26245,20154.1
1621995939.691015,MATIC,1.0090920325310968,3.5516948699951167,356.62,5.8254,0.0059884,204.0,2.155,5.6,0.9983482157394352,356.62,5.979,0.0060115,12.0,2.1402799999999997,447.1,1.0035475634363475,356.69,3.21,0.0060115,12.0,2.14358,3395.6,0.9984654088591172,356.69,17.7356,0.0060129,14.0,2.14145,15527.2
1621995949.722116,BLZ,1.0077187905786424,9.597269773483275,356.57,3.0,0.000664,161.0,0.23859,400.4,1.0077187905786424,356.57,3.0,0.000664,161.0,0.23859,400.4,1.0076343177348033,356.57,2.8931,0.000675,22725.0,0.23857,20582.5,0.9913798028333743,356.57,2.7273,0.000675,22634.0,0.23861,215.5
1621995955.1625226,COCOS,1.0041274860654543,4.990859031677246,356.28,2.6524,0.001387,183.1,0.4962,123.6,1.0003190697230255,356.28,2.6524,0.001392,42.5,0.4961,2913.98,1.0039251226059491,356.28,2.6524,0.001393,85.0,0.4961,2913.98,0.9998816104700684,356.18,4.0679,0.001393,85.0,0.4961,2913.98
1621996220.8133702,BLZ,1.0076324303519382,265.2013981342316,358.31,0.0558,0.00067,160.0,0.2419,183581.6,0.9987581065749338,358.3,6.0,0.000676,158.0,0.24191,834.6,1.007910489417273,358.3,6.0,0.000679,5650.0,0.24196,1798.0,0.9926955606566004,358.3,6.0,0.000681,728.0,0.24222,2538.5
1621996417.7951958,BURGER,1.0041002036947009,196.53641700744632,356.83,3.6,0.02484,0.4,8.9,4.7,1.0041002036947009,356.83,3.4945,0.02484,0.4,8.9,4.7,1.0042127741371114,356.79,3.6,0.02484,0.4,8.9,4.7,1.0042690688241165,356.77,6.0,0.02484,0.4,8.9,4.7
1621996418.244637,BURGER,1.0042690688241165,0.00027990341186523443,356.77,5.9719,0.02484,0.4,8.9,4.7,1.0042690688241165,356.77,5.9719,0.02484,0.4,8.9,4.7,1.004240920691687,356.78,0.2859,0.02484,0.4,8.9,10.3,1.0041846291602579,356.8,6.3402,0.02484,0.4,8.9,10.3
1621996418.6799722,BURGER,1.004184629160258,0.00030803680419921875,356.8,5.8385,0.02484,0.4,8.9,10.3,1.0042127741371114,356.79,4.4374,0.02484,0.4,8.9,10.3,1.0042972185345331,356.76,4.4836,0.02484,0.4,8.9,10.3,1.0042972185345331,356.76,4.4836,0.02484,0.4,8.9,10.3
1621996419.113516,BURGER,1.0042972185345331,0.00030612945556640625,356.76,4.2176,0.02484,0.4,8.9,10.3,1.0042972185345331,356.76,4.833,0.02484,0.4,8.9,10.3,1.0042972185345331,356.76,5.1189,0.02484,0.4,8.9,10.3,1.0039313953441678,356.89,2.4108,0.02484,0.4,8.9,30.3
1621996420.1210241,BURGER,1.0040157924238635,0.5502331256866455,356.86,12.84,0.02484,0.4,8.9,30.3,1.0040439279371725,356.85,3.0,0.02484,0.4,8.9,30.3,1.0040157924238635,356.86,0.5067,0.02484,0.4,8.9,30.3,1.0039313953441678,356.89,5.6168,0.02484,0.4,8.9,30.3
1621996421.430476,BURGER,1.0040157924238635,0.8543400764465332,356.86,6.0,0.02484,0.4,8.9,30.3,1.0040157924238635,356.86,6.0,0.02484,0.4,8.9,30.3,1.0040157924238635,356.86,6.0,0.02484,0.4,8.9,30.3,1.0040439279371725,356.85,6.0,0.02484,0.4,8.9,30.3
1621996421.867903,BURGER,1.0040439279371725,0.000823974609375,356.85,6.8952,0.02484,0.4,8.9,30.3,1.0040439279371725,356.85,6.8669,0.02484,0.4,8.9,30.3,1.0040439279371725,356.85,6.8669,0.02484,0.4,8.9,30.3,1.0040720650274075,356.84,2.9081,0.02484,0.4,8.9,30.3
1621996422.311589,BURGER,1.0041002036947009,0.0002818107604980469,356.83,6.1217,0.02484,0.4,8.9,30.3,1.0019561162177022,356.79,2.5217,0.02484,0.4,8.88,5.7,1.0019841995215937,356.78,2.8039,0.02484,0.4,8.88,5.7,1.0018157233082448,356.84,0.9002,0.02484,0.4,8.88,5.7
