start_time,crypto_code,e_roi,time_cost,ask,ask_q,ask_1,ask_1_q,bid_2,bid_2_q,roi_30,ask_30,ask_q_30,ask_1_30,ask_1_q_30,bid_2_30,bid_2_q_30,roi_100,ask_100,ask_q_100,ask_1_100,ask_1_q_100,bid_2_100,bid_2_q_100,roi_300,ask_300,ask_q_300,ask_1_300,ask_1_q_300,bid_2_300,bid_2_q_300
1627142759.1334407,ERN,1.0043177431821986,736.40625166893,302.41,0.9682,0.02772,0.4,8.419,33.3,1.0022367739223457,302.39,2.4934,0.02772,0.4,8.401,21.0,1.0022699188649318,302.38,3.0093,0.02772,0.4,8.401,21.0,1.0022699188649318,302.38,3.0093,0.02772,0.4,8.401,21.0
1627142782.102228,ERN,1.0047028205993576,22.453412771224976,302.33,2.3176,0.02772,0.4,8.42,8.2,1.0047028205993576,302.33,2.3176,0.02772,0.4,8.42,8.2,1.0047028205993576,302.33,2.2151,0.02772,0.4,8.42,8.2,1.0047360536908034,302.32,2.2559,0.02772,0.4,8.42,8.2
1627142782.5914612,ERN,1.0047360536908034,0.0,302.32,6.5,0.02772,0.4,8.42,8.2,1.0047360536908034,302.32,6.5,0.02772,0.4,8.42,8.2,1.0047360536908034,302.32,6.5,0.02772,0.4,8.42,8.2,1.0047360536908034,302.32,6.5,0.02772,0.4,8.42,8.2
1627142783.086649,ERN,1.0047360536908034,0.0,302.32,6.5,0.02772,0.4,8.42,8.2,1.0046695897063034,302.34,2.2121,0.02772,0.4,8.42,8.2,1.0047028205993576,302.33,2.3616,0.02772,0.4,8.42,8.2,1.0047028205993576,302.33,2.3616,0.02772,0.4,8.42,8.2
1627142783.6178155,ERN,1.0047028205993576,0.0,302.33,11.2745,0.02772,0.4,8.42,8.2,1.0047028205993576,302.33,4.7745,0.02772,0.4,8.42,8.2,1.0046695897063034,302.34,2.2121,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,1.4824,0.02772,0.4,8.42,8.2
1627142784.117825,ERN,1.0045699102153114,0.0,302.37,1.4824,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,1.4824,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,1.4824,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,1.4824,0.02772,0.4,8.42,8.2
1627142784.586565,ERN,1.0045699102153114,0.0,302.37,1.2324,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,1.1873,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,1.1873,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,1.0573,0.02772,0.4,8.42,8.2
1627142785.0709271,ERN,1.0045699102153114,0.0,302.37,0.506,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,2.9562,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,2.9562,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,2.9562,0.02772,0.4,8.42,8.2
1627142785.5865822,ERN,1.0045699102153114,0.0,302.37,0.506,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,0.506,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,0.506,0.02772,0.4,8.42,8.2,1.0045699102153114,302.37,0.406,0.02772,0.4,8.42,8.2
1627143478.8053198,IOTA,1.0048053812553153,692.5312266349792,303.42,8.062,0.002296,396.0,0.7,141660.66,1.0017182473096102,303.43,3.6592,0.002303,22.4,0.7,7750.54,1.000035482814892,303.43,4.6162,0.002308,38.4,0.6967,1313.42,0.9958683600826944,303.42,0.7179,0.002308,38.4,0.6974,707.77
