start_time,crypto_code,e_roi,time_cost,ask,ask_q,ask_1,ask_1_q,bid_2,bid_2_q,roi_30,ask_30,ask_q_30,ask_1_30,ask_1_q_30,bid_2_30,bid_2_q_30,roi_100,ask_100,ask_q_100,ask_1_100,ask_1_q_100,bid_2_100,bid_2_q_100,roi_300,ask_300,ask_q_300,ask_1_300,ask_1_q_300,bid_2_300,bid_2_q_300
1627315426.5709374,COCOS,1.004172999564073,1120.906590938568,318.51,15.2232,0.002238,22.8,0.7158,143.26,1.0011817972870476,318.51,6.5253,0.002245,25.5,0.7159,152.15,1.004172999564073,318.51,6.0009,0.002245,10.6,0.7158,38.32,1.0010419478950534,318.51,14.0009,0.002245,10.6,0.7158,38.32
1627315427.1491485,COCOS,1.0050711865046489,0.0781006813049316,318.51,13.9407,0.002236,119.9,0.7158,11.3,1.0059136602569578,318.51,13.8088,0.002236,67.5,0.7164,9.79,1.0050711865046489,318.51,5.6574,0.002236,119.9,0.7158,11.3,1.0049307742125972,318.51,3.4014,0.002236,50.2,0.7157,11.47
1627315427.617811,COCOS,1.0049307742125972,0.0,318.51,3.3222,0.002236,50.2,0.7157,11.47,1.004804586075826,318.55,0.5153,0.002236,50.2,0.7157,11.47,1.004804586075826,318.55,0.5153,0.002236,50.2,0.7157,11.47,1.004804586075826,318.55,0.5153,0.002236,50.2,0.7157,11.47
1627315428.133834,COCOS,1.005563622204295,0.0,318.55,6.8015,0.002234,67.4,0.7156,34.59,1.006828305351282,318.55,0.2238,0.002234,27.9,0.7165,55.12,1.0054231018546298,318.55,0.0373,0.002234,11.9,0.7155,3.37,1.005359980838724,318.57,0.9352,0.002234,11.9,0.7155,3.37
1627315430.3678172,COCOS,1.0047743231313728,1.6675529479980469,318.64,30.1477,0.002232,21.5,0.7146,41.99,1.0043525035162884,318.64,46.5448,0.002232,67.3,0.7143,21.2,1.005899175438265,318.64,46.1847,0.002238,28.4,0.7154,37.08,1.0032023948070634,318.64,46.1219,0.002238,0.4,0.7154,9.11
1627315731.0084856,FET,1.0072960151912558,300.0311589241028,318.71,0.0414,0.001246,80.0,0.40001,500.0,0.9961038372446862,318.71,0.0414,0.00126,320.0,0.40001,4721.4,1.0070812413948056,318.77,3.1373,0.001257,86.0,0.4,609350.9,0.9984371138366066,318.74,13.0,0.001257,86.0,0.40003,888.9
1627316494.820954,FET,1.005481231469932,763.265730381012,318.01,29.8654,0.001134,637.0,0.3626,29.3,0.9957554685442696,317.99,61.9405,0.001137,637.0,0.36002,6420.0,0.9984174737783342,317.99,61.9405,0.001137,637.0,0.36003,182.3,0.9958384435569252,317.99,66.4059,0.001137,637.0,0.36005,457.2
1627316816.1334815,TROY,1.005240928738632,320.60941076278687,319.42,0.1471,2.541e-05,39756.0,0.008159,4718.0,1.0018896858738997,319.42,2.3418,2.542e-05,5978.0,0.008135,19776.0,1.0030546161082292,319.41,3.2008,2.551e-05,225707.0,0.008141,10069.0,1.000535259362071,319.39,16.6965,2.551e-05,115778.0,0.008152,49788.0
1627316991.1803226,FET,1.0086102495720928,174.3125457763672,320.27,6.5616,0.001123,7640.0,0.36276,1322470.7,0.9988577402553548,320.26,0.61,0.001134,12861.0,0.36276,1066056.7,1.0086417430539378,320.26,0.3262,0.001134,12861.0,0.36276,1064360.5,0.9987184031428687,320.34,12.8738,0.001134,389.0,0.3628,5303.7
1627317017.4616106,FET,1.0066549762665482,25.60937190055847,320.64,12.7217,0.001132,50.0,0.36538,500270.0,0.997902378502422,320.62,12.1483,0.001142,1271.0,0.36538,470902.4,1.0068081269880458,320.6,12.1483,0.001142,1271.0,0.36539,299.7,0.9981831351679696,320.6,12.1483,0.001142,1271.0,0.36546,500.0
