start_time,crypto_code,e_roi,time_cost,ask,ask_q,ask_1,ask_1_q,bid_2,bid_2_q,roi_30,ask_30,ask_q_30,ask_1_30,ask_1_q_30,bid_2_30,bid_2_q_30,roi_100,ask_100,ask_q_100,ask_1_100,ask_1_q_100,bid_2_100,bid_2_q_100,roi_300,ask_300,ask_q_300,ask_1_300,ask_1_q_300,bid_2_300,bid_2_q_300
1627229188.5396802,ERN,1.004259696549006,395.7343053817749,296.24,1.6099,0.02642,2.9,7.86,524.8,0.9928283883948716,296.26,1.0,0.0266,106.7,7.824,25.8,0.9995925484974862,296.26,1.0,0.0266,106.7,7.824,25.8,0.9928283883948716,296.26,7.5,0.0266,106.7,7.824,25.8
1627229425.6960382,COS,1.005406810656671,236.6559193134308,295.76,14.0454,4.809e-05,30626.0,0.0143,7400.0,0.9972384381054789,295.76,1.7146,4.845e-05,2401.0,0.01429,32317.6,1.004703728970897,295.76,1.7146,4.845e-05,2401.0,0.01429,32317.6,0.9963384561735622,295.82,36.428,4.845e-05,106670.0,0.01428,168834.8
1627229455.2005055,RUNE,1.006328191812484,28.98437809944153,295.57,12.6592,0.01133,120.0,3.37,2453.52,0.9983244515189098,295.57,10.4248,0.01137,120.0,3.355,150.0,1.0045365095718684,295.57,16.7736,0.0114,1597.0,3.364,2200.0,0.9992586432756452,295.57,16.7736,0.0114,1597.0,3.367,221.111
1627231471.0553253,WING,1.0042053612974755,2015.3124957084656,295.61,0.0504,0.0572,0.16,16.98,463.71,1.0042053612974755,295.61,0.0504,0.0572,0.16,16.98,0.002,1.0042053612974755,295.61,0.0504,0.0572,0.16,16.98,0.002,1.0012483372653866,295.61,0.0504,0.0572,0.16,16.93,14.0
1627231475.102203,WING,1.0044167605060703,3.4843807220458984,295.6,21.2014,0.0572,0.16,16.983,2.936,1.0015187789206734,295.6,21.2014,0.0572,0.16,16.934,14.0,1.0015526609457397,295.59,6.5,0.0572,0.16,16.934,14.0,1.001586545263384,295.58,18.2666,0.0572,0.16,16.934,14.0
1627231487.1021824,WING,1.0044167605060703,11.5000159740448,295.6,40.8733,0.0572,0.16,16.983,0.476,1.0019919187713504,295.6,40.8733,0.0572,0.16,16.942,2.014,1.0020510612526852,295.6,40.8733,0.0572,0.16,16.943,1.602,1.0020510612526852,295.6,55.7421,0.0572,0.16,16.943,1.602
1627231492.9303455,WING,1.004900145369165,5.328363418579102,295.51,25.4258,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,25.4258,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,28.184,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,25.4258,0.0572,0.16,16.986,23.962
1627231493.4459393,WING,1.004900145369165,0.0,295.51,25.4258,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,25.4258,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,25.4258,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,26.8723,0.0572,0.16,16.986,23.962
1627231493.9147718,WING,1.004900145369165,0.0,295.51,16.8723,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,16.8723,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,16.8723,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,16.8723,0.0572,0.16,16.986,23.962
1627231494.3834732,WING,1.004900145369165,0.0,295.51,6.4465,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,6.4465,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,6.4465,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,7.9465,0.0572,0.16,16.986,23.962
1627231494.9147356,WING,1.004900145369165,0.0,295.51,1.4465,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,1.4465,0.0572,0.16,16.986,23.962,1.004900145369165,295.51,1.4465,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,0.1701,0.0572,0.16,16.986,23.962
1627231495.3834326,WING,1.0047641412892638,0.0,295.55,0.1701,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,0.1701,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,0.1701,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,0.1701,0.0572,0.16,16.986,23.962
1627231495.8682492,WING,1.0047641412892638,0.0,295.55,0.1701,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,0.1701,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,0.1701,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,9.5822,0.0572,0.16,16.986,23.962
1627231496.3678336,WING,1.0047641412892638,0.0,295.55,9.5822,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,9.5822,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,9.5822,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,9.4164,0.0572,0.16,16.986,23.962
1627231496.8678043,WING,1.0047641412892638,0.0,295.55,17.3902,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,17.3902,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,17.3902,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,17.3902,0.0572,0.16,16.986,23.962
1627231497.3521922,WING,1.0047641412892638,0.0,295.55,17.3902,0.0572,0.16,16.986,23.962,1.0047641412892638,295.55,17.3902,0.0572,0.16,16.986,23.962,1.004832138727175,295.53,6.5,0.0572,0.16,16.986,23.962,1.004832138727175,295.53,14.5,0.0572,0.16,16.986,23.962
1627231497.8366055,WING,1.004832138727175,0.0,295.53,14.5,0.0572,0.16,16.986,23.962,1.004832138727175,295.53,14.5,0.0572,0.16,16.986,23.962,1.004832138727175,295.53,19.5,0.0572,0.16,16.986,23.962,1.004832138727175,295.53,22.3607,0.0572,0.16,16.986,23.962
1627231498.32092,WING,1.004832138727175,0.0,295.53,22.3607,0.0572,0.16,16.986,23.962,1.004832138727175,295.53,22.3607,0.0572,0.16,16.986,23.962,1.004832138727175,295.53,22.3607,0.0572,0.16,16.986,23.962,1.004832138727175,295.53,24.0607,0.0572,0.16,16.986,23.962
