start_time,crypto_code,e_roi,time_cost,ask,ask_q,ask_1,ask_1_q,bid_2,bid_2_q,roi_30,ask_30,ask_q_30,ask_1_30,ask_1_q_30,bid_2_30,bid_2_q_30,roi_100,ask_100,ask_q_100,ask_1_100,ask_1_q_100,bid_2_100,bid_2_q_100,roi_300,ask_300,ask_q_300,ask_1_300,ask_1_q_300,bid_2_300,bid_2_q_300
1626975550.3209853,COCOS,1.0040390290328391,365.1251254081726,295.15,11.653,0.001859,9.8,0.5509,2600.0,1.0040390290328391,295.15,11.653,0.001859,9.8,0.5509,2600.0,1.0040390290328391,295.15,11.653,0.001859,9.8,0.5509,2600.0,0.9977805268552812,295.15,8.7799,0.001871,110.2,0.551,2420.51
1626976705.9303176,CELR,1.009122792967722,1155.0625040531158,295.28,12.5652,8.39e-05,2655.0,0.025,90029.0,0.997536820597166,295.29,11.3365,8.46e-05,234848.0,0.02492,188242.8,1.0006122746104704,295.29,11.3365,8.46e-05,234848.0,0.02479,70869.9,0.9930999368354816,295.3,8.9043,8.46e-05,234848.0,0.02481,15883.9
1626980509.992802,ERN,1.0040655379193522,3803.531278848648,294.17,27.2,0.02309,0.2,6.82,738.5,1.0043493288050198,294.13,1.7047,0.02309,0.2,6.821,88.1,1.0044176263351146,294.11,2.7271,0.02309,0.2,6.821,95.6,1.0045648800554392,294.11,6.5,0.02309,0.2,6.822,23.7
1626980510.5085132,ERN,1.0045990373107965,0.0,294.1,0.8793,0.02309,0.2,6.822,23.7,1.0045990373107965,294.1,0.8793,0.02309,0.2,6.822,23.7,1.0046331968890656,294.09,0.8555,0.02309,0.2,6.822,23.7,1.0047804606235846,294.09,0.8555,0.02309,0.2,6.823,21.5
1626980510.9771926,ERN,1.0047804606235846,0.0,294.09,6.5,0.02309,0.2,6.823,21.5,1.0047804606235846,294.09,6.5,0.02309,0.2,6.823,21.5,1.0047804606235846,294.09,6.5,0.02309,0.2,6.823,21.5,1.0049277243581036,294.09,1.4296,0.02309,0.2,6.824,23.7
1626980511.4928071,ERN,1.0049277243581036,0.0,294.09,1.4296,0.02309,0.2,6.824,23.7,1.0049277243581036,294.09,1.4296,0.02309,0.2,6.824,23.7,1.0049277243581036,294.09,1.4296,0.02309,0.2,6.824,23.7,1.0049383036349893,294.13,0.5,0.02309,0.2,6.825,24.8
1626980511.961609,ERN,1.0046308994907192,0.0,294.22,1.2547,0.02309,0.2,6.825,24.8,1.0046308994907192,294.22,1.2547,0.02309,0.2,6.825,24.8,1.0046308994907192,294.22,1.2547,0.02309,0.2,6.825,24.8,1.004846403942366,294.2,0.0671,0.02309,0.2,6.826,23.7
1626980512.4615836,ERN,1.0048805603176318,0.0,294.19,1.2094,0.02309,0.2,6.826,23.7,1.0048805603176318,294.19,1.2094,0.02309,0.2,6.826,23.7,1.0049488800348236,294.17,1.07,0.02309,0.2,6.826,23.7,1.0049830433772236,294.16,0.8369,0.02309,0.2,6.826,23.7
1626980512.9615924,ERN,1.0051302720680202,0.0,294.16,0.8369,0.02309,0.2,6.827,52.5,1.0051302720680202,294.16,0.8369,0.02309,0.2,6.827,52.5,1.0051302720680202,294.16,0.8369,0.02309,0.2,6.827,52.5,1.0051644427384967,294.15,0.6465,0.02309,0.2,6.827,52.5
1626980513.4459274,ERN,1.005232791049974,0.0,294.13,6.5,0.02309,0.2,6.827,52.5,1.005232791049974,294.13,6.5,0.02309,0.2,6.827,52.5,1.0053800347574662,294.13,6.5,0.02309,0.2,6.828,23.7,1.00551677929618,294.09,6.5,0.02309,0.2,6.828,23.7
1626980513.9303052,ERN,1.005550971243245,0.0,294.08,2.1646,0.02309,0.2,6.828,23.7,1.005550971243245,294.08,1.4377,0.02309,0.2,6.828,23.7,1.0054825896743065,294.1,0.6464,0.02309,0.2,6.828,23.7,1.00551677929618,294.09,6.5,0.02309,0.2,6.828,23.7
1626980514.430315,ERN,1.00551677929618,0.0,294.09,6.5,0.02309,0.2,6.828,23.7,1.00551677929618,294.09,6.5,0.02309,0.2,6.828,23.7,1.005664043030699,294.09,6.5,0.02309,0.2,6.829,15.5,0.9984601493211044,294.09,1.4633,0.02326,9.0,6.83,23.7
1626982588.5865796,INJ,1.0150164686422036,2073.656200647354,294.85,7.4988,0.01938,6.9,5.8,6416.53,0.9963665740027882,294.85,7.4988,0.01961,25.9,5.761,416.572,1.0083019837672302,294.92,0.2079,0.01966,90.0,5.763,7.264,0.994826299272914,294.91,0.0509,0.01965,36.0,5.765,71.119
1626988991.774089,VTHO,1.00406111622274,6402.6733729839325,294.58,9.5771,1.681e-05,1882.0,0.004972,42995.0,0.9987479493225808,294.57,0.422,1.69e-05,17077.0,0.004972,42995.0,1.00406111622274,294.58,6.1818,1.69e-05,17077.0,0.004972,42995.0,0.998714045189601,294.58,6.6415,1.69e-05,17077.0,0.004972,42995.0
1626989694.336564,ERN,1.0044816947127957,702.0781745910645,294.78,0.3579,0.02334,20.4,6.911,10.5,1.0044816947127957,294.78,0.3579,0.02334,20.4,6.911,10.5,0.999394607559714,294.78,0.3579,0.02334,20.4,6.876,20.2,0.999394607559714,294.78,0.3579,0.02334,20.4,6.876,20.2
1626993162.2115428,COCOS,1.00416544751122,3467.343760490417,291.67,1.7193,0.001799,27.9,0.5269,2691.98,1.00416544751122,291.67,1.7193,0.001799,27.9,0.5269,2691.98,1.00416544751122,291.67,1.7193,0.001799,27.9,0.5269,2691.98,1.0041310205553948,291.68,33.1379,0.001799,27.9,0.5269,2691.98
1626993162.7115724,COCOS,1.0041310205553948,0.0,291.68,32.4779,0.001799,27.9,0.5269,2691.98,1.0041310205553948,291.68,32.4779,0.001799,27.9,0.5269,2691.98,1.0041310205553948,291.68,22.5144,0.001799,27.9,0.5269,2691.98,1.0041310205553948,291.68,22.4629,0.001799,27.9,0.5269,2691.98
